index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
37,frozenset({'sausage'}),frozenset({'rolls/buns'}),0.2060030785017958,0.3496664956387891,0.0823499230374551,0.3997509339975093,1.1432348794734346,0.010317548486929784,1.08343942739015
38,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.4581836839404823,0.3496664956387891,0.17855310415597742,0.38969764837625975,1.1144838102499344,0.018341621033638428,1.0655923291643326
39,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3496664956387891,0.4581836839404823,0.17855310415597742,0.5106382978723404,1.1144838102499344,0.018341621033638428,1.1071898632520578
40,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.28296562339661363,0.3496664956387891,0.11133914828116984,0.3934723481414325,1.1252789530853293,0.012395550361830598,1.072223998969231
41,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.3496664956387891,0.28296562339661363,0.11133914828116984,0.318415260454879,1.1252789530853295,0.012395550361830598,1.0520106085149794
42,frozenset({'soda'}),frozenset({'root vegetables'}),0.3134940995382247,0.23063109286813752,0.08132375577219086,0.25941080196399346,1.1247867698060583,0.009022268987977408,1.0388605574752883
43,frozenset({'root vegetables'}),frozenset({'soda'}),0.23063109286813752,0.3134940995382247,0.08132375577219086,0.3526140155728587,1.1247867698060583,0.009022268987977408,1.0604274991669003
44,frozenset({'soda'}),frozenset({'sausage'}),0.3134940995382247,0.2060030785017958,0.07721908671113391,0.24631751227495907,1.195698210271221,0.01263833711411122,1.0534899436165097
45,frozenset({'sausage'}),frozenset({'soda'}),0.2060030785017958,0.3134940995382247,0.07721908671113391,0.3748443337484433,1.195698210271221,0.01263833711411122,1.098135932411963
46,frozenset({'whole milk'}),frozenset({'sausage'}),0.4581836839404823,0.2060030785017958,0.10697793740379682,0.23348264277715566,1.1333939496206136,0.012590687992763652,1.0358498917427266
47,frozenset({'sausage'}),frozenset({'whole milk'}),0.2060030785017958,0.4581836839404823,0.10697793740379682,0.5193026151930261,1.1333939496206136,0.012590687992763652,1.1271463777093076
48,frozenset({'yogurt'}),frozenset({'sausage'}),0.28296562339661363,0.2060030785017958,0.07542329399692149,0.2665457842248413,1.2938922377439992,0.01713150446703931,1.0825446284456357
49,frozenset({'sausage'}),frozenset({'yogurt'}),0.2060030785017958,0.28296562339661363,0.07542329399692149,0.3661270236612702,1.2938922377439994,0.01713150446703931,1.1311956864686035
50,frozenset({'whole milk'}),frozenset({'shopping bags'}),0.4581836839404823,0.16829143150333503,0.09132888660851719,0.19932810750279956,1.1844221997651108,0.014220498546701807,1.038763289045485
51,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.16829143150333503,0.4581836839404823,0.09132888660851719,0.5426829268292683,1.1844221997651108,0.014220498546701807,1.184771677783479
52,frozenset({'soda'}),frozenset({'tropical fruit'}),0.3134940995382247,0.2337095946639302,0.08183683940482299,0.2610474631751228,1.1169736678997022,0.008570260472210697,1.036995432248812
53,frozenset({'tropical fruit'}),frozenset({'soda'}),0.2337095946639302,0.3134940995382247,0.08183683940482299,0.3501646542261252,1.1169736678997022,0.008570260472210697,1.0564305326362793
54,frozenset({'yogurt'}),frozenset({'tropical fruit'}),0.28296562339661363,0.2337095946639302,0.07567983581323756,0.2674524025385313,1.144379215252684,0.009548054665388661,1.0460622736208973
55,frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.2337095946639302,0.28296562339661363,0.07567983581323756,0.32381997804610324,1.1443792152526842,0.009548054665388661,1.06041934591832
56,frozenset({'whole milk'}),frozenset({'whipped/sour cream'}),0.4581836839404823,0.15469471523858389,0.0797845048742945,0.17413213885778273,1.1256502110574413,0.008905910360156269,1.0235357549721282
57,frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.15469471523858389,0.4581836839404823,0.0797845048742945,0.5157545605306799,1.1256502110574413,0.008905910360156269,1.1188878033694836
58,frozenset({'whole milk'}),frozenset({'yogurt'}),0.4581836839404823,0.28296562339661363,0.15059004617752694,0.32866741321388576,1.1615100423460805,0.020939814421151365,1.068076227367513
59,frozenset({'yogurt'}),frozenset({'whole milk'}),0.28296562339661363,0.4581836839404823,0.15059004617752694,0.5321849501359928,1.1615100423460805,0.020939814421151365,1.1581848771582328
60,"frozenset({'whole milk', 'rolls/buns'})",frozenset({'other vegetables'}),0.17855310415597742,0.3766033863519754,0.08209338122113904,0.45977011494252873,1.2208337248269598,0.014849677552340984,1.1539469231357053
61,"frozenset({'whole milk', 'other vegetables'})",frozenset({'rolls/buns'}),0.1913801949717804,0.3496664956387891,0.08209338122113904,0.42895442359249325,1.2267530030546874,0.015174139110688378,1.1388469348672847
62,"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'whole milk'}),0.14674191893278604,0.4581836839404823,0.08209338122113904,0.5594405594405595,1.2209962489917698,0.01485862821601952,1.2298370348652548
63,frozenset({'whole milk'}),"frozenset({'rolls/buns', 'other vegetables'})",0.4581836839404823,0.14674191893278604,0.08209338122113904,0.1791713325867861,1.2209962489917696,0.01485862821601952,1.0395081396903438
64,frozenset({'rolls/buns'}),"frozenset({'whole milk', 'other vegetables'})",0.3496664956387891,0.1913801949717804,0.08209338122113904,0.2347762289068232,1.2267530030546874,0.015174139110688378,1.0567102533590251
65,frozenset({'other vegetables'}),"frozenset({'whole milk', 'rolls/buns'})",0.3766033863519754,0.17855310415597742,0.08209338122113904,0.21798365122615804,1.2208337248269598,0.014849677552340984,1.0504216403301614
66,"frozenset({'whole milk', 'yogurt'})",frozenset({'other vegetables'}),0.15059004617752694,0.3766033863519754,0.07183170856849666,0.4770017035775127,1.2665889921969649,0.015118987227139669,1.1919668150208158
67,"frozenset({'whole milk', 'other vegetables'})",frozenset({'yogurt'}),0.1913801949717804,0.28296562339661363,0.07183170856849666,0.3753351206434316,1.326433635782499,0.017677692392541355,1.1478704827170092
68,"frozenset({'yogurt', 'other vegetables'})",frozenset({'whole milk'}),0.12031811185223192,0.4581836839404823,0.07183170856849666,0.5970149253731343,1.303003459744948,0.016703912835278036,1.3445071546662106
69,frozenset({'whole milk'}),"frozenset({'yogurt', 'other vegetables'})",0.4581836839404823,0.12031811185223192,0.07183170856849666,0.15677491601343785,1.3030034597449482,0.016703912835278036,1.043234961641377
70,frozenset({'yogurt'}),"frozenset({'whole milk', 'other vegetables'})",0.28296562339661363,0.1913801949717804,0.07183170856849666,0.25385312783318226,1.3264336357824993,0.017677692392541355,1.0837273936161924
71,frozenset({'other vegetables'}),"frozenset({'whole milk', 'yogurt'})",0.3766033863519754,0.15059004617752694,0.07183170856849666,0.19073569482288827,1.266588992196965,0.015118987227139669,1.049607586036524
